Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 11 2017,7:00p,Los Angeles Clippers,103,New Orleans Pelicans,111,Box Score,,17624,
Sat Nov 11 2017,8:00p,Sacramento Kings,91,New York Knicks,118,Box Score,,19812,
Sat Nov 11 2017,9:00p,Minnesota Timberwolves,110,Phoenix Suns,118,Box Score,,16910,
Sat Nov 11 2017,8:30p,Chicago Bulls,94,San Antonio Spurs,133,Box Score,,18418,
Sat Nov 11 2017,9:00p,Brooklyn Nets,106,Utah Jazz,114,Box Score,,17413,
Sat Nov 11 2017,7:00p,Atlanta Hawks,94,Washington Wizards,113,Box Score,,17260,
Sun Nov 12 2017,3:30p,Toronto Raptors,94,Boston Celtics,95,Box Score,,18624,
Sun Nov 12 2017,4:00p,Miami Heat,103,Detroit Pistons,112,Box Score,,16236,
Sun Nov 12 2017,6:00p,Houston Rockets,118,Indiana Pacers,95,Box Score,,15581,
Sun Nov 12 2017,7:00p,Dallas Mavericks,99,Oklahoma City Thunder,112,Box Score,,18203,
Mon Nov 13 2017,10:30p,Orlando Magic,100,Golden State Warriors,110,Box Score,,19596,
Mon Nov 13 2017,10:30p,Philadelphia 76ers,109,Los Angeles Clippers,105,Box Score,,19068,
Mon Nov 13 2017,8:00p,Memphis Grizzlies,103,Milwaukee Bucks,110,Box Score,,13244,
Mon Nov 13 2017,8:00p,Atlanta Hawks,105,New Orleans Pelicans,106,Box Score,,14631,
Mon Nov 13 2017,7:30p,Cleveland Cavaliers,104,New York Knicks,101,Box Score,,19812,
Mon Nov 13 2017,9:00p,Los Angeles Lakers,100,Phoenix Suns,93,Box Score,,17533,
Mon Nov 13 2017,10:00p,Denver Nuggets,82,Portland Trail Blazers,99,Box Score,,18895,
Mon Nov 13 2017,9:00p,Minnesota Timberwolves,109,Utah Jazz,98,Box Score,,17236,
Mon Nov 13 2017,7:00p,Sacramento Kings,92,Washington Wizards,110,Box Score,,14660,
Tue Nov 14 2017,7:30p,Boston Celtics,109,Brooklyn Nets,102,Box Score,,17732,
Tue Nov 14 2017,8:30p,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,19535,
Tue Nov 14 2017,8:00p,Toronto Raptors,129,Houston Rockets,113,Box Score,,18055,
Wed Nov 15 2017,7:30p,Sacramento Kings,80,Atlanta Hawks,126,Box Score,,13860,
Wed Nov 15 2017,8:00p,Cleveland Cavaliers,115,Charlotte Hornets,107,Box Score,,19427,
Wed Nov 15 2017,10:30p,Philadelphia 76ers,115,Los Angeles Lakers,109,Box Score,,18997,
Wed Nov 15 2017,8:00p,Indiana Pacers,116,Memphis Grizzlies,113,Box Score,,16033,
Wed Nov 15 2017,7:30p,Washington Wizards,102,Miami Heat,93,Box Score,,19600,
Wed Nov 15 2017,8:00p,Detroit Pistons,95,Milwaukee Bucks,99,Box Score,,14594,
Wed Nov 15 2017,8:00p,San Antonio Spurs,86,Minnesota Timberwolves,98,Box Score,,18978,
Wed Nov 15 2017,8:00p,Toronto Raptors,125,New Orleans Pelicans,116,Box Score,,15654,
Wed Nov 15 2017,7:30p,Utah Jazz,101,New York Knicks,106,Box Score,,18695,
Wed Nov 15 2017,8:00p,Chicago Bulls,79,Oklahoma City Thunder,92,Box Score,,18203,
Wed Nov 15 2017,10:00p,Orlando Magic,94,Portland Trail Blazers,99,Box Score,,19206,
Thu Nov 16 2017,8:00p,Golden State Warriors,88,Boston Celtics,92,Box Score,,18624,
Thu Nov 16 2017,10:30p,Houston Rockets,142,Phoenix Suns,116,Box Score,,16875,
Fri Nov 17 2017,7:30p,Utah Jazz,107,Brooklyn Nets,118,Box Score,,14495,
Fri Nov 17 2017,8:00p,Charlotte Hornets,120,Chicago Bulls,123,Box Score,,20493,
Fri Nov 17 2017,7:30p,Los Angeles Clippers,113,Cleveland Cavaliers,118,Box Score,OT,20562,
Fri Nov 17 2017,8:30p,Minnesota Timberwolves,111,Dallas Mavericks,87,Box Score,,19459,
Fri Nov 17 2017,10:30p,New Orleans Pelicans,114,Denver Nuggets,146,Box Score,,16816,
Fri Nov 17 2017,7:00p,Detroit Pistons,100,Indiana Pacers,107,Box Score,,17188,
Fri Nov 17 2017,10:30p,Phoenix Suns,122,Los Angeles Lakers,113,Box Score,,18997,
Fri Nov 17 2017,10:00p,Portland Trail Blazers,82,Sacramento Kings,86,Box Score,,17583,
Fri Nov 17 2017,8:00p,Oklahoma City Thunder,101,San Antonio Spurs,104,Box Score,,18418,
Fri Nov 17 2017,7:30p,New York Knicks,84,Toronto Raptors,107,Box Score,,19800,
Fri Nov 17 2017,7:00p,Miami Heat,91,Washington Wizards,88,Box Score,,17551,
Sat Nov 18 2017,7:30p,Boston Celtics,110,Atlanta Hawks,99,Box Score,,16381,
Sat Nov 18 2017,7:00p,Los Angeles Clippers,87,Charlotte Hornets,102,Box Score,,17640,
Sat Nov 18 2017,9:00p,Milwaukee Bucks,79,Dallas Mavericks,111,Box Score,,19949,
Sat Nov 18 2017,8:00p,Houston Rockets,105,Memphis Grizzlies,83,Box Score,,17266,
Sat Nov 18 2017,7:00p,Utah Jazz,125,Orlando Magic,85,Box Score,,19157,
Sat Nov 18 2017,7:30p,Golden State Warriors,124,Philadelphia 76ers,116,Box Score,,20848,
Sat Nov 18 2017,10:00p,Sacramento Kings,90,Portland Trail Blazers,102,Box Score,,19522,
Sun Nov 19 2017,6:00p,Golden State Warriors,118,Brooklyn Nets,111,Box Score,,17732,
Sun Nov 19 2017,9:30p,Denver Nuggets,109,Los Angeles Lakers,127,Box Score,,18997,
Sun Nov 19 2017,5:00p,Indiana Pacers,120,Miami Heat,95,Box Score,,19600,
Sun Nov 19 2017,7:00p,Detroit Pistons,100,Minnesota Timberwolves,97,Box Score,,16069,
Sun Nov 19 2017,8:00p,Chicago Bulls,105,Phoenix Suns,113,Box Score,,16264,
Sun Nov 19 2017,3:30p,Washington Wizards,91,Toronto Raptors,100,Box Score,,19800,
Mon Nov 20 2017,7:00p,Minnesota Timberwolves,102,Charlotte Hornets,118,Box Score,,15978,
Mon Nov 20 2017,8:30p,Boston Celtics,110,Dallas Mavericks,102,Box Score,OT,20302,
Mon Nov 20 2017,7:00p,Cleveland Cavaliers,116,Detroit Pistons,88,Box Score,,20491,
Mon Nov 20 2017,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,92,Box Score,,15785,
Mon Nov 20 2017,8:00p,Washington Wizards,99,Milwaukee Bucks,88,Box Score,,16122,
Mon Nov 20 2017,8:00p,Oklahoma City Thunder,107,New Orleans Pelicans,114,Box Score,,16765,
Mon Nov 20 2017,7:30p,Los Angeles Clippers,85,New York Knicks,107,Box Score,,18848,
Mon Nov 20 2017,7:00p,Indiana Pacers,105,Orlando Magic,97,Box Score,,17239,
Mon Nov 20 2017,7:00p,Utah Jazz,86,Philadelphia 76ers,107,Box Score,,20587,
Mon Nov 20 2017,10:00p,Denver Nuggets,114,Sacramento Kings,98,Box Score,,17583,
Mon Nov 20 2017,8:30p,Atlanta Hawks,85,San Antonio Spurs,96,Box Score,,18418,
Tue Nov 21 2017,10:30p,Chicago Bulls,94,Los Angeles Lakers,103,Box Score,,18997,
Wed Nov 22 2017,7:30p,Los Angeles Clippers,116,Atlanta Hawks,103,Box Score,,12675,
Wed Nov 22 2017,7:00p,Washington Wizards,124,Charlotte Hornets,129,Box Score,OT,16041,
Wed Nov 22 2017,7:00p,Brooklyn Nets,109,Cleveland Cavaliers,119,Box Score,,20562,
Wed Nov 22 2017,8:00p,Denver Nuggets,95,Houston Rockets,125,Box Score,,18055,
Wed Nov 22 2017,8:00p,Dallas Mavericks,95,Memphis Grizzlies,94,Box Score,,16101,
Wed Nov 22 2017,7:30p,Boston Celtics,98,Miami Heat,104,Box Score,,19704,
Wed Nov 22 2017,8:00p,Orlando Magic,118,Minnesota Timberwolves,124,Box Score,,16402,
Wed Nov 22 2017,8:00p,San Antonio Spurs,90,New Orleans Pelicans,107,Box Score,,17539,
Wed Nov 22 2017,7:30p,Toronto Raptors,100,New York Knicks,108,Box Score,,19812,
Wed Nov 22 2017,8:00p,Golden State Warriors,91,Oklahoma City Thunder,108,Box Score,,18203,
Wed Nov 22 2017,7:00p,Portland Trail Blazers,81,Philadelphia 76ers,101,Box Score,,20605,
Wed Nov 22 2017,9:00p,Milwaukee Bucks,113,Phoenix Suns,107,Box Score,OT,16270,
Wed Nov 22 2017,10:30p,Los Angeles Lakers,102,Sacramento Kings,113,Box Score,,17583,
Wed Nov 22 2017,9:00p,Chicago Bulls,80,Utah Jazz,110,Box Score,,17434,
Fri Nov 24 2017,7:30p,New York Knicks,104,Atlanta Hawks,116,Box Score,,14355,
Fri Nov 24 2017,7:30p,Orlando Magic,103,Boston Celtics,118,Box Score,,18624,
Fri Nov 24 2017,12:00p,Portland Trail Blazers,127,Brooklyn Nets,125,Box Score,,15246,
Fri Nov 24 2017,8:00p,Charlotte Hornets,99,Cleveland Cavaliers,100,Box Score,,20562,
Fri Nov 24 2017,9:00p,Memphis Grizzlies,92,Denver Nuggets,104,Box Score,,16736,
Fri Nov 24 2017,10:30p,Chicago Bulls,94,Golden State Warriors,143,Box Score,,19596,
Fri Nov 24 2017,8:00p,Toronto Raptors,104,Indiana Pacers,107,Box Score,,16523,
Fri Nov 24 2017,8:00p,Miami Heat,109,Minnesota Timberwolves,97,Box Score,,18978,
Fri Nov 24 2017,8:00p,Detroit Pistons,99,Oklahoma City Thunder,98,Box Score,,18203,
Fri Nov 24 2017,9:00p,New Orleans Pelicans,115,Phoenix Suns,91,Box Score,,16574,
Sat Nov 25 2017,7:30p,Toronto Raptors,112,Atlanta Hawks,78,Box Score,,12278,
Sat Nov 25 2017,7:00p,San Antonio Spurs,106,Charlotte Hornets,86,Box Score,,18597,
Sat Nov 25 2017,8:30p,Oklahoma City Thunder,81,Dallas Mavericks,97,Box Score,,20340,
Sat Nov 25 2017,8:30p,New Orleans Pelicans,95,Golden State Warriors,110,Box Score,,19596,
Sat Nov 25 2017,8:00p,New York Knicks,102,Houston Rockets,117,Box Score,,18055,
Sat Nov 25 2017,8:00p,Boston Celtics,108,Indiana Pacers,98,Box Score,,16303,
Sat Nov 25 2017,7:00p,Orlando Magic,111,Philadelphia 76ers,130,Box Score,,20585,
Sat Nov 25 2017,10:00p,Los Angeles Clippers,97,Sacramento Kings,95,Box Score,,17583,
Sat Nov 25 2017,9:00p,Milwaukee Bucks,108,Utah Jazz,121,Box Score,,17298,
Sat Nov 25 2017,7:00p,Portland Trail Blazers,108,Washington Wizards,105,Box Score,,18092,
Sun Nov 26 2017,3:30p,Miami Heat,100,Chicago Bulls,93,Box Score,,20928,
Sun Nov 26 2017,6:00p,Brooklyn Nets,98,Memphis Grizzlies,88,Box Score,,14889,
Sun Nov 26 2017,3:30p,Phoenix Suns,108,Minnesota Timberwolves,119,Box Score,,16448,
Mon Nov 27 2017,7:30p,Detroit Pistons,118,Boston Celtics,108,Box Score,,18624,
Mon Nov 27 2017,10:30p,Sacramento Kings,110,Golden State Warriors,106,Box Score,,19596,
Mon Nov 27 2017,8:00p,Brooklyn Nets,103,Houston Rockets,117,Box Score,,16189,
Mon Nov 27 2017,7:00p,Orlando Magic,109,Indiana Pacers,121,Box Score,,12501,
Mon Nov 27 2017,10:30p,Los Angeles Lakers,115,Los Angeles Clippers,120,Box Score,,18086,
Mon Nov 27 2017,7:30p,Portland Trail Blazers,103,New York Knicks,91,Box Score,,18409,
Mon Nov 27 2017,7:00p,Cleveland Cavaliers,113,Philadelphia 76ers,91,Box Score,,20527,
Mon Nov 27 2017,8:30p,Dallas Mavericks,108,San Antonio Spurs,115,Box Score,,17918,
Tue Nov 28 2017,8:00p,Phoenix Suns,104,Chicago Bulls,99,Box Score,,18324,
Tue Nov 28 2017,7:00p,Miami Heat,97,Cleveland Cavaliers,108,Box Score,,20562,
Tue Nov 28 2017,8:00p,Washington Wizards,92,Minnesota Timberwolves,89,Box Score,,13442,
Tue Nov 28 2017,10:00p,Milwaukee Bucks,112,Sacramento Kings,87,Box Score,,17583,
Tue Nov 28 2017,10:00p,Denver Nuggets,77,Utah Jazz,106,Box Score,,16790,
Wed Nov 29 2017,8:30p,Brooklyn Nets,109,Dallas Mavericks,104,Box Score,,19327,
Wed Nov 29 2017,7:00p,Phoenix Suns,107,Detroit Pistons,131,Box Score,,18096,
Wed Nov 29 2017,8:00p,Indiana Pacers,97,Houston Rockets,118,Box Score,,16760,
Wed Nov 29 2017,10:30p,Golden State Warriors,127,Los Angeles Lakers,123,Box Score,OT,18997,
Wed Nov 29 2017,8:00p,Minnesota Timberwolves,120,New Orleans Pelicans,102,Box Score,,15555,
Wed Nov 29 2017,7:30p,Miami Heat,86,New York Knicks,115,Box Score,,17693,
Wed Nov 29 2017,7:00p,Oklahoma City Thunder,108,Orlando Magic,121,Box Score,,17797,
Wed Nov 29 2017,7:00p,Washington Wizards,113,Philadelphia 76ers,118,Box Score,,20492,
Wed Nov 29 2017,8:30p,Memphis Grizzlies,95,San Antonio Spurs,104,Box Score,,18013,
Wed Nov 29 2017,7:30p,Charlotte Hornets,113,Toronto Raptors,126,Box Score,,19800,
Thu Nov 30 2017,7:30p,Cleveland Cavaliers,121,Atlanta Hawks,114,Box Score,,16379,
Thu Nov 30 2017,7:30p,Philadelphia 76ers,97,Boston Celtics,108,Box Score,,18624,
Thu Nov 30 2017,9:00p,Chicago Bulls,110,Denver Nuggets,111,Box Score,,15156,
Thu Nov 30 2017,10:30p,Utah Jazz,126,Los Angeles Clippers,107,Box Score,,15139,
Thu Nov 30 2017,10:00p,Milwaukee Bucks,103,Portland Trail Blazers,91,Box Score,,19459,
Fri Dec 1 2017,8:00p,Sacramento Kings,107,Chicago Bulls,106,Box Score,,19268,
Fri Dec 1 2017,8:00p,San Antonio Spurs,95,Memphis Grizzlies,79,Box Score,,16413,
Fri Dec 1 2017,8:00p,Charlotte Hornets,100,Miami Heat,105,Box Score,,19600,
Fri Dec 1 2017,8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,111,Box Score,,18203,
Fri Dec 1 2017,7:00p,Golden State Warriors,133,Orlando Magic,112,Box Score,,18846,
Fri Dec 1 2017,7:30p,Indiana Pacers,115,Toronto Raptors,120,Box Score,,19800,
Fri Dec 1 2017,9:00p,New Orleans Pelicans,108,Utah Jazz,114,Box Score,,17725,
Fri Dec 1 2017,7:00p,Detroit Pistons,91,Washington Wizards,109,Box Score,,17885,
Sat Dec 2 2017,1:00p,Phoenix Suns,111,Boston Celtics,116,Box Score,,18624,
Sat Dec 2 2017,3:00p,Atlanta Hawks,114,Brooklyn Nets,102,Box Score,,13949,
Sat Dec 2 2017,7:30p,Memphis Grizzlies,111,Cleveland Cavaliers,116,Box Score,,20562,
Sat Dec 2 2017,2:00p,Los Angeles Clippers,82,Dallas Mavericks,108,Box Score,,19245,
Sat Dec 2 2017,9:00p,Los Angeles Lakers,100,Denver Nuggets,115,Box Score,,19520,
Sat Dec 2 2017,8:30p,Sacramento Kings,104,Milwaukee Bucks,109,Box Score,,15581,
Sat Dec 2 2017,7:30p,Detroit Pistons,103,Philadelphia 76ers,108,Box Score,,20562,
Sat Dec 2 2017,10:00p,New Orleans Pelicans,123,Portland Trail Blazers,116,Box Score,,18730,
Sun Dec 3 2017,9:30p,Houston Rockets,118,Los Angeles Lakers,95,Box Score,,18997,
Sun Dec 3 2017,7:00p,Golden State Warriors,123,Miami Heat,95,Box Score,,19600,
Sun Dec 3 2017,7:00p,Los Angeles Clippers,106,Minnesota Timberwolves,112,Box Score,,13172,
Sun Dec 3 2017,3:30p,Orlando Magic,105,New York Knicks,100,Box Score,,19082,
Sun Dec 3 2017,7:00p,San Antonio Spurs,87,Oklahoma City Thunder,90,Box Score,,18203,
Mon Dec 4 2017,7:30p,Brooklyn Nets,110,Atlanta Hawks,90,Box Score,,12056,
Mon Dec 4 2017,7:30p,Milwaukee Bucks,100,Boston Celtics,111,Box Score,,18624,
Mon Dec 4 2017,8:00p,Cleveland Cavaliers,113,Chicago Bulls,91,Box Score,,21323,
Mon Dec 4 2017,7:00p,Orlando Magic,94,Charlotte Hornets,104,Box Score,,14419,
Mon Dec 4 2017,8:30p,Denver Nuggets,105,Dallas Mavericks,122,Box Score,,19419,
Mon Dec 4 2017,7:00p,New York Knicks,97,Indiana Pacers,115,Box Score,,12018,
Mon Dec 4 2017,8:00p,Minnesota Timberwolves,92,Memphis Grizzlies,95,Box Score,,14012,
Mon Dec 4 2017,8:00p,Golden State Warriors,125,New Orleans Pelicans,115,Box Score,,17004,
Mon Dec 4 2017,7:00p,Phoenix Suns,115,Philadelphia 76ers,101,Box Score,,20564,
Mon Dec 4 2017,8:30p,Detroit Pistons,93,San Antonio Spurs,96,Box Score,,18288,
Mon Dec 4 2017,9:00p,Washington Wizards,69,Utah Jazz,116,Box Score,,17227,
Tue Dec 5 2017,8:00p,Utah Jazz,94,Oklahoma City Thunder,100,Box Score,,18203,
Tue Dec 5 2017,10:00p,Washington Wizards,106,Portland Trail Blazers,92,Box Score,,19241,
Tue Dec 5 2017,7:30p,Phoenix Suns,113,Toronto Raptors,126,Box Score,,19800,
Wed Dec 6 2017,7:30p,Dallas Mavericks,90,Boston Celtics,97,Box Score,,18624,
Wed Dec 6 2017,8:00p,Golden State Warriors,101,Charlotte Hornets,87,Box Score,,19334,
Wed Dec 6 2017,7:00p,Sacramento Kings,95,Cleveland Cavaliers,101,Box Score,,20562,
Wed Dec 6 2017,7:00p,Chicago Bulls,96,Indiana Pacers,98,Box Score,,13013,
Wed Dec 6 2017,10:30p,Minnesota Timberwolves,113,Los Angeles Clippers,107,Box Score,,15951,
Wed Dec 6 2017,8:00p,Detroit Pistons,100,Milwaukee Bucks,104,Box Score,,15841,
Wed Dec 6 2017,8:00p,Denver Nuggets,114,New Orleans Pelicans,123,Box Score,,15353,
Wed Dec 6 2017,7:30p,Memphis Grizzlies,88,New York Knicks,99,Box Score,,19812,
Wed Dec 6 2017,7:00p,Atlanta Hawks,106,Orlando Magic,110,Box Score,OT,16167,
Wed Dec 6 2017,8:30p,Miami Heat,105,San Antonio Spurs,117,Box Score,,18252,
